"Compound name","Smiles","logkp (cm/s)","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","reference","DOI"
"Propylparaben","CCCOC(=O)c1ccc(cc1)O","-5.41","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Pyrogallol","Oc1c(O)cccc1O","-6.366","abdomen","epidermis","heat separation","-17","","0","37","","Water","37","7.4","PBS","Franz cell","du Plessis, 2002","10.1016/S0928-0987(02)00085-4"
"Raffinose","OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H]([C@@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O","-8.208","","epidermis","heat separation","","","0","37","7.5","PBS with sodium azide","37","7.5","PBS with sodium azide","Glass diffusion cell","Peck, 1994","10.1023/A:1018998529283"
"Ranitidine","CN/C(=C[N+](=O)[O-])/NCCSCc1ccc(o1)CN(C)C","-7.608","abdomen","epidermis, dermis","","-70","21","0","32","","","37","7.4","PBS","Franz cell","Degim, 2003","10.1002/jps.10312"
"Resorcinol","Oc1cccc(c1)O","-6.626","abdomen","epidermis","heat separation","-17","","0","37","","Water","37","7.4","PBS","Franz cell","du Plessis, 2002","10.1016/S0928-0987(02)00085-4"
"Resorcinol","Oc1cccc(c1)O","-7.176","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"Salicylic acid","OC(=O)c1ccccc1O","-6.588","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Salicylic acid","OC(=O)c1ccccc1O","-5.416","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Salicylic acid","OC(=O)c1ccccc1O","-5.76","abdomen","epidermis, dermis","fat removed","4","0.5","0","30","3.0","HCl","37","3.0","HCl","Franz cell","Hadgraft, 1987","10.1016/0378-5173(87)90210-9"
"Salicylic acid","OC(=O)c1ccccc1O","-7.556","","epidermis","heat separation","4","14","0","","","PBS","","","PBS","Franz cell","Mitragotri, 1996","10.1023/A:1016096626810"
"Salicylic acid","OC(=O)c1ccccc1O","-5.136","abdomen, breast","epidermis, dermis","dermatomed 408um","-18","180","0","32","2.5","PBS","37","7.4","PBS","Franz cell","Qvist, 2000","10.1016/S0928-0987(00)00091-9"
"Salicylic acid","OC(=O)c1ccccc1O","-6.216","abdomen","epidermis, dermis","dermatomed 600um","-80","60","0","32","","Propylene glycol/Water (9:1)","","","PBS with ethanol","Franz cell","Schmook, 2001","10.1016/S0378-5173(00)00665-7"
"Scopolamine","OC[C@H](c1ccccc1)C(=O)OC1C[C@@H]2N([C@H](C1)[C@@H]1[C@H]2O1)C","-7.852","thigh","epidermis, dermis","","4","14","0","30","9.6","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Scopolamine","OC[C@H](c1ccccc1)C(=O)OC1C[C@@H]2N([C@H](C1)[C@@H]1[C@H]2O1)C","-9.128","thigh","epidermis, dermis","","4","14","0","30","4","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Scopolamine","OC[C@H](c1ccccc1)C(=O)OC1C[C@@H]2N([C@H](C1)[C@@H]1[C@H]2O1)C","-8.862","thigh","epidermis, dermis","","4","14","0","30","6.6","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Scopolamine","OC[C@H](c1ccccc1)C(=O)OC1C[C@@H]2N([C@H](C1)[C@@H]1[C@H]2O1)C","-8.221","thigh","epidermis, dermis","","4","14","0","30","9.6","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Sucrose","OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O","-8.583","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Sucrose","OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O","-8.84","","epidermis, dermis","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Sucrose","OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O","-8.84","","epidermis","heat separation","4","14","0","","","PBS","","","PBS","Franz cell","Mitragotri, 1996","10.1023/A:1016096626810"
"Sucrose","OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O","-8.075","","epidermis","heat separation","","","0","37","7.5","PBS with sodium azide","37","7.5","PBS with sodium azide","Glass diffusion cell","Peck, 1994","10.1023/A:1018998529283"
"Sufentanil","COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC","-5.477","abdomen","epidermis","heat separation","-20","","0","37","7.4","Citrate-phosphate buffer","37","7.4","","Glass diffusion cell","Roy, 1989","10.1023/A:1015944018555"
"Sufentanil","COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC","-5.374","abdomen, thigh","epidermis","heat separation","-20","","0","37","7.4","Potassium phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Sufentanil","COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC","-6.894","thigh","epidermis, dermis","dermatomed","-20","","0","37","2.88","Citrate-phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Sufentanil","COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC","-6.158","thigh","epidermis, dermis","dermatomed","-20","","0","37","5.08","Citrate-phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Sufentanil","COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC","-5.764","thigh","epidermis, dermis","dermatomed","-20","","0","37","6.02","Citrate-phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Sufentanil","COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC","-5.552","thigh","epidermis, dermis","dermatomed","-20","","0","37","6.95","Citrate-phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Sufentanil","COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC","-5.36","thigh","epidermis, dermis","dermatomed","-20","","0","37","7.43","Potassium phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Sufentanil","COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC","-5.193","thigh","epidermis, dermis","dermatomed","-20","","0","37","7.95","Potassium phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Sufentanil","COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC","-5.082","thigh","epidermis, dermis","dermatomed","-20","","0","37","8.52","Potassium phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Sufentanil","COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC","-5.018","thigh","epidermis, dermis","dermatomed","-20","","0","37","9.04","Potassium phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Sufentanil","COCC1(CCN(CC1)CCc1cccs1)N(c1ccccc1)C(=O)CC","-5.029","thigh","epidermis, dermis","dermatomed","-20","","0","37","9.37","Potassium phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Terbinafine","CN(Cc1cccc2c1cccc2)CC=CC#CC(C)(C)C","-9.556","abdomen","epidermis, dermis","dermatomed 600um","-80","60","0","32","","Propylene glycol","","","PBS with ethanol","Franz cell","Schmook, 2001","10.1016/S0378-5173(00)00665-7"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-5.67","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-5.827","abdomen, chest, back","epidermis","heat separation","5","7","0","","","PBS","","7.4","PBS","Glass diffusion cell","Johnson, 1996","10.1021/js960079z"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-6.214","abdomen, back","epidermis","heat separation","4","7","0","25","","PBS","25","","PBS","Glass diffusion cell","Mitragotri, 1995","10.1002/jps.2600840607"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-6.214","","epidermis","heat separation","","","0","","7.4","PBS","","7.4","PBS","Glass diffusion cell","Mitragotri, 2000","10.1023/A:1007547809430"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-5.856","abdomen, breast","epidermis, dermis","dermatomed 408um","-18","180","0","32","","PBS with ethanol","37","7.4","PBS","Franz cell","Qvist, 2000","10.1016/S0928-0987(00)00091-9"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-6.954","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-6.626","abdomen","dermis","heat separation","-20","","0","25","","","25","","","Glass diffusion cell","Siddiqui, 1989","10.1007/bf01061455"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-5.73","abdomen","epidermis, dermis","dermatomed 350um","","60","0","32","","","","","","Flow through cell","Bronaugh, 1986","10.1111/j.1365-2133.1986.tb06214.x"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-5.489","abdomen","epidermis, dermis","","-30","","0","37","2","PBS","37","","NaCl, sodium azide, acetone","Flow through cell","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-5.476","abdomen","epidermis, dermis","","-30","","0","37","6","PBS","37","","NaCl, sodium azide, acetone","Flow through cell","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-5.489","abdomen","epidermis, dermis","","-30","","0","37","11","PBS","37","","NaCl, sodium azide, acetone","Flow through cell","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-5.476","abdomen","epidermis, dermis","","-30","","0","37","1","HCl/NaOH, KCl","37","","NaCl, sodium azide, acetone","Flow through cell","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-5.596","abdomen","epidermis, dermis","","-30","","0","37","2","HCl/NaOH, KCl","37","","NaCl, sodium azide, acetone","Flow through cell","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-4.945","abdomen","epidermis, dermis","","-30","","0","37","12","HCl/NaOH, KCl","37","","NaCl, sodium azide, acetone","Flow through cell","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-6.898","breast","epidermis, dermis","dermatomed 330um, hydrated","","","0","32","","Ethanol/water (1:1 v/v)","37","7.4","Saline, 5% (w/v) bovine serum albumin, HCl","","Wilkinson, 2006","10.1007/s00420-005-0056-5"
"Testosterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C","-7.903","breast","epidermis, dermis","","","","0","32","","Ethanol/water (1:1 v/v)","37","7.4","Saline, 5% (w/v) bovine serum albumin, HCl","","Wilkinson, 2006","10.1007/s00420-005-0056-5"
"Theophylline","Cn1c(=O)n(C)c2c(c1=O)[nH]cn2","-7.125","thigh","epidermis, dermis","dermatomed 300um","4","28","0","37","7.35","Water","37","7.4","PBS with sodium azide","Franz cell","Dolezal, 1993","10.1023/A:1018914806761"
"Thymol","Cc1ccc(c(c1)O)C(C)C","-4.86","abdomen","epidermis","heat separation","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"Thymol","Cc1ccc(c(c1)O)C(C)C","-4.834","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"Thymol","Cc1ccc(c(c1)O)C(C)C","-4.77","abdomen","epidermis","heat separation","-20","90","0","32","7.4","PBS","32","","PBS with ethanol","Franz cell","Zhang, 2009","10.1007/s11095-009-9912-4"
"Toluene","Cc1ccccc1","-3.637","abdomen","stratum corneum","dry heat separation","","","0","","4","Succinate solution","","","","Flow through cell","Anderson, 1989","10.1111/1523-1747.ep12277592"
"Triamcinolone","OCC(=O)[C@@]1(O)[C@H](O)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)F","-8.956","abdomen","dermis","heat separation","-20","","0","25","","","25","","","Glass diffusion cell","Siddiqui, 1989","10.1007/bf01061455"
"Triamcinolone acetonide","OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1CCC1=CC(=O)C=C[C@]21C)F)(C)C","-8.251","abdomen","dermis","heat separation","-20","","0","25","","","25","","","Glass diffusion cell","Siddiqui, 1989","10.1007/bf01061455"
"Trichloroacetic acid","OC(=O)C(Cl)(Cl)Cl","-6.278","breast","epidermis, dermis","dermatomed 250-280um","-20","","1","40","7","Water","37","7.4","","Glass diffusion cell","Xu, 2002","10.1006/taap.2002.9494"
"Trichloroacetonitrile","N#CC(Cl)(Cl)Cl","-4.604","torso","epidermis, dermis","dermatomed 250-280um","-20","","0","37","","Water","37","7.4","PBS","Glass diffusion cell","Trabaris, 2012","10.1002/jat.1657"
"Triclosan","Clc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl","-4.269","abdomen, breast","epidermis, dermis","dermatomed 230um","","","0","","","Ethanol/Water (9:1, v/v)","32","7.3","Eagle Minimal Essential Medium with Earle's salt, sodium bicarbonate and gentamicin","Flow through cell","Moss, 2000","10.1016/S0278-6915(99)00164-7"
"Triglycol nicotinate","OCCOCCOCCOC(=O)c1cccnc1","-8.561","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Dalpozzo, 1991","10.1002/jps.2600800114"
"Trimethylamine","CN(C)C","-7.284","abdomen","epidermis, dermis","fat removed","-20","","0","32","","","32","7.3","Hanks balanced salt solution","Flow through cell","Kenyon, 2004","10.1016/j.fct.2004.05.007"
"Urea","NC(=O)N","-3.83","","stratum corneum","heat separation","4","2","0","","","","37","7.1","Dulbecco PBS","Franz cell","Barber, 1992","10.1016/0272-0590(92)90086-W"
"Urea","NC(=O)N","-7.317","","epidermis","heat separation","","","0","37","7.5","PBS with sodium azide","37","7.5","PBS with sodium azide","Glass diffusion cell","Peck, 1994","10.1023/A:1018998529283"
"Water","O","-6.438","thigh, leg","epidermis, dermis","dermatomed 380um","-20","1","0","","7","PBS","","7","PBS","Glass diffusion cell","Astley, 1976","10.1002/jps.2600650210"
"Water","O","-6.606","thigh, leg","epidermis, dermis","dermatomed 380um","-20","30","0","","7","PBS","","7","PBS","Glass diffusion cell","Astley, 1976","10.1002/jps.2600650210"
"Water","O","-6.323","thigh, leg","epidermis, dermis","dermatomed 380um","-20","90","0","","7","PBS","","7","PBS","Glass diffusion cell","Astley, 1976","10.1002/jps.2600650210"
"Water","O","-6.502","thigh, leg","epidermis, dermis","dermatomed 380um","-20","180","0","","7","PBS","","7","PBS","Glass diffusion cell","Astley, 1976","10.1002/jps.2600650210"
"Water","O","-6.363","","stratum corneum","heat separation","4","2","0","","","","","7.1","Dulbecco PBS","Franz cell","Barber, 1992","10.1016/0272-0590(92)90086-W"
"Water","O","-7.079","","epidermis","heat separation","4","14","0","","","PBS","","","PBS","Franz cell","Mitragotri, 1996","10.1023/A:1016096626810"
"Water","O","-5.41","scalp","epidermis, dermis","dermatomed 420um, hydrated 0.25d","-20","210","0","31","","","31","","Sodium azide","","Bond, 1988","10.1111/1523-1747.ep12460958"
"Water","O","-6.41","abdomen","epidermis, dermis","dermatomed 420um","-20","210","0","31","","","31","","Sodium azide","","Bond, 1988","10.1111/1523-1747.ep12460958"
"Water","O","-6.597","abdomen","epidermis","heat separation","","","0","32","","NaCl solution","32","","NaCl solution","Flow through cell","Clowes, 1994","10.1016/0887-2333(94)90078-7"
"Water","O","-6.707","abdomen","epidermis, dermis","dermatomed 130um","","4","0","32","","NaCl solution","33","","NaCl solution","Flow through cell","Clowes, 1994","10.1016/0887-2333(94)90078-7"
"Water","O","-6.429","abdomen","epidermis, dermis","dermatomed 420um","-24","","0","31","","Water","31","","Sodium azide","Flow through cell","Rigg, 1990","10.1111/1523-1747.ep12874561"
"Water","O","-5.24","scalp","epidermis, dermis","dermatomed 420um, hydrated 10d","-20","210","0","31","","","31","","Sodium azide","","Bond, 1988","10.1111/1523-1747.ep12460958"
"Water","O","-6.426","abdomen","epidermis, dermis","dermatomed 420um, hydrated 1.75d","-20","210","0","31","","","31","","Sodium azide","","Bond, 1988","10.1111/1523-1747.ep12460958"
"Water","O","-6.751","abdomen","","","7","4","0","30","","","30","","","","Scott, 1990","10.1111/1523-1747.ep12475447"
"Water","O","-6.588","abdomen","stratum corneum","heat separation","-70","","0","","","","30","7.1","Dulbecco PBS with penicillin, streptomycin and amphotericin","Franz cell","Barber, 1995","10.1016/0378-4274(95)03393-Y"
